,Name,Genre,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
110,The World Ends with You: Final Remix,Role-Playing,NS,Nintendo,Square Enix,0.27,0.14,0.08,0.03,0.02
111,Sword Art Online: Hollow Realization,Role-Playing,PSV,Namco Bandai Games,Aquria,0.26,,0.08,0.16,0.02
112,Jurassic World Evolution,Simulation,XOne,Frontier Developments,Frontier Developments,0.26,0.15,0.09,,0.02
113,My Hero One's Justice,Fighting,NS,Bandai Namco Entertainment,Byking,0.26,0.17,0.01,0.06,0.02
114,Jikkyou Powerful Pro Baseball 2018,Sports,PS4,Konami,Konami,0.26,,,0.26,
115,Tetris Effect,Puzzle,PS4,Sony Interactive Entertainment,Monstars Inc.,0.25,0.19,0.01,0.01,0.05
116,Mega Man Legacy Collection 1+2,Platform,NS,Capcom,Digital Eclipse Software,0.25,0.2,,0.03,0.02
117,Sid Meier's Civilization VI,Strategy,NS,2K Games,Firaxis Games,0.25,0.12,0.11,0.01,0.02
118,Darksiders III,Action,PS4,THQ Nordic,Gunfire Games,0.25,0.13,0.07,,0.04
119,Valkyria Chronicles 4,Role-Playing,PS4,Sega,Sega,0.25,0.1,0.03,0.08,0.03
120,Hello Neighbor,Action,NS,Gearbox Software,Dynamic Pixels,0.24,0.12,0.1,,0.02
121,Earth Defense Force 5,Shooter,PS4,D3 Publisher,Sandlot,0.24,,,0.24,
122,Street Fighter 30th Anniversary Collection,Fighting,PS4,Capcom,Capcom,0.24,0.11,0.07,0.02,0.04
123,A Way Out,Action,XOne,Electronic Arts,Hazelight,0.24,0.17,0.05,,0.02
124,Just Dance 2019,Music,Wii,Ubisoft,Ubisoft Paris,0.24,0.1,0.12,,0.02
125,Attack on Titan 2,Action,NS,Koei Tecmo,Omega Force,0.23,0.12,0.02,0.08,0.02
126,No Man's Sky,Action-Adventure,XOne,505 Games,Hello Games,0.23,0.17,0.04,,0.02
127,Metal Gear Survive,Action,PS4,Konami Digital Entertainment,Konami Digital Entertainment,0.23,0.08,0.06,0.05,0.03
128,Attack on Titan 2,Action,PS4,Koei Tecmo,Omega Force,0.22,0.09,0.04,0.06,0.03
129,Life Is Strange: Before the Storm,Adventure,PS4,Square Enix,Deck Nine,0.22,0.11,0.06,0.02,0.03
130,Dragon Quest Builders: Revive Alefgard,Role-Playing,NS,Square Enix,Square Enix,0.22,0.07,0.07,0.07,0.01
131,Kingdom Come: Deliverance,Role-Playing,XOne,Deep Silver,Warhorse Studios,0.22,0.14,0.06,,0.02
132,LEGO Harry Potter Collection,Action,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,0.22,0.14,0.06,,0.02
133,Hitman 2,Action-Adventure,XOne,Warner Bros. Interactive Entertainment,IO Interactive,0.22,0.14,0.06,,0.02
134,Warriors Orochi 4,Action,PS4,Koei Tecmo,Omega Force,0.22,0.05,,0.16,0.01
135,Radiant Historia: Perfect Chronology,Role-Playing,3DS,Atlus,Atlus,0.21,0.11,0.03,0.06,0.01
136,Fallout 76,Role-Playing,PC,Bethesda Softworks,Bethesda Game Studios,0.21,0.12,0.07,,0.02
137,Conan Exiles,Action-Adventure,PS4,Maximum Games,Funcom Oslo A/S,0.21,0.05,0.05,0.09,0.02
138,Devil May Cry HD Collection,Action,PS4,Capcom,Capcom,0.21,0.1,0.06,0.02,0.03
139,Kingdom Hearts: The Story So Far,Role-Playing,PS4,Square Enix,Square Enix,0.2,0.17,,,0.04
140,Shin Megami Tensei: Strange Journey Redux,Role-Playing,3DS,Atlus,Atlus,0.2,0.08,0.01,0.1,0.01
141,Valkyria Chronicles 4,Strategy,NS,Sega,Sega,0.19,0.12,0.04,0.02,0.02
142,NBA Live 19,Sports,PS4,Electronic Arts,EA Tiburon,0.19,0.15,,,0.04
143,Captain Toad: Treasure Tracker,Puzzle,3DS,Nintendo,Nintendo EPD,0.19,0.06,0.04,0.08,0.01
144,Street Fighter 30th Anniversary Collection,Fighting,NS,Capcom,Capcom,0.19,0.12,0.04,0.01,0.02
145,Creed: Rise to Glory,Sports,PS4,Sony Interactive Entertainment,Survios,0.19,0.15,,,0.04
146,Naruto to Boruto: Shinobi Striker,Action,XOne,Bandai Namco Games,Soleil Software Studio Inc.,0.19,0.17,,,0.02
147,Bendy and the Ink Machine,Puzzle,PS4,Rooster Teeth Games,TheMeatly Games,0.18,0.15,,,0.03
148,Sega Genesis Classics,Misc,NS,Sega,Sega,0.18,0.1,0.06,,0.02
149,Bendy and the Ink Machine,Puzzle,NS,Rooster Teeth Games,TheMeatly Games,0.17,0.15,,,0.02
150,Katamari Damacy Reroll,Action,NS,Bandai Namco Entertainment,Bandai Namco Games,0.17,0.14,,0.02,0.02
151,Mega Man 11,Platform,PS4,Capcom,Capcom,0.17,0.09,0.03,0.03,0.03
152,Just Dance 2019,Music,PS4,Ubisoft,Ubisoft Paris,0.17,0.11,0.03,,0.03
153,TT Isle of Man: Ride on the Edge,Racing,PS4,Big Ben Interactive,Kylotonn,0.17,0.05,0.09,,0.03
154,F1 2018,Racing,XOne,Codemasters,Codemasters Birmingham,0.17,0.05,0.1,,0.01
155,Sports Party,Sports,NS,Ubisoft,Magic Pockets,0.17,0.06,0.1,,0.01
156,Harvest Moon: Light of Hope,Simulation,NS,Natsume,Natsume,0.17,0.12,0.03,,0.02
157,Digimon Story: Cyber Sleuth - Hacker's Memory,Role-Playing,PS4,Namco Bandai Games,Media.Vision,0.16,0.05,0.05,0.04,0.02
158,Bendy and the Ink Machine,Puzzle,XOne,Rooster Teeth Games,TheMeatly Games,0.16,0.14,,,0.02
159,Overcooked! 2,Simulation,PS4,Sold Out,Ghost Town Games,0.16,0.07,0.06,,0.03
160,Xenoblade Chronicles 2: Torna ~ The Golden Country,Role-Playing,NS,Nintendo,Monolith Soft,0.16,0.08,0.05,0.02,0.01
161,Assassin's Creed Rogue Remastered,Action-Adventure,PS4,Ubisoft,Ubisoft,0.15,,0.13,0.01,0.02
162,Just Dance 2019,Music,XOne,Ubisoft,Ubisoft Paris,0.15,0.13,0.01,,0.02
163,NBA Live 19,Sports,XOne,Electronic Arts,EA Tiburon,0.15,0.13,,,0.02
164,South Park: The Fractured But Whole,Role-Playing,NS,Ubisoft,Ubisoft San Francisco,0.14,0.08,0.05,,0.01
165,We Happy Few,Action-Adventure,PS4,Gearbox Software,Compulsion Games,0.14,0.08,0.04,,0.02
166,Mega Man X Legacy Collection 1+2,Platform,PS4,Capcom Entertainment,Digital Eclipse Software,0.14,0.07,,0.05,0.02
167,My Hero One's Justice,Fighting,XOne,Bandai Namco Entertainment,Byking,0.14,0.12,,,0.01
168,NBA 2K Playgrounds 2,Sports,NS,2K Games,Saber Interactive,0.14,0.07,0.05,,0.01
169,Divinity: Original Sin II,Role-Playing,PS4,Bandai Namco Entertainment,Larian Studios,0.13,0.04,0.08,,0.02
170,New Gundam Breaker,Action,PS4,Namco Bandai Games,Bandai Namco Games,0.13,0.03,,0.1,0.01
171,R.B.I. Baseball 18,Sports,XOne,MLB Advanced Media,MLB Advanced Media,0.13,0.12,,,0.01
172,Nickelodeon Kart Racers,Racing,NS,GameMill Entertainment,Solutions 2 Go,0.13,0.08,0.04,,0.01
173,Destiny 2: Forsaken,Shooter,XOne,Activision,Bungie,0.13,0.08,0.04,,0.01
174,Super Robot Wars X,Strategy,PS4,Bandai Namco Games,Bandai Namco,0.13,,,0.13,
175,R.B.I. Baseball 18,Sports,NS,MLB Advanced Media,MLB.com,0.13,0.12,,,0.01
176,Call of Duty: Black Ops IIII,Shooter,PC,Activision,Treyarch,0.13,0.05,0.07,,0.01
177,The Legend of Heroes: Trails of Cold Steel IV,Role-Playing,PS4,Falcom,Falcom,0.13,,,0.13,
178,Persona Dancing: Endless Night Collection,Music,PS4,Atlus,Atlus,0.13,0.07,,0.04,0.02
179,Goosebumps: The Game,Adventure,NS,GameMill Entertainment,WayForward,0.13,0.09,0.02,,0.01
180,NASCAR Heat 3,Racing,PS4,704Games,Monster Games,0.13,0.1,,,0.02
181,Paw Patrol on a Roll,Platform,NS,Outright Games,Outright Games,0.13,,0.12,,0.01
182,Little Dragons Café,Simulation,NS,Aksys Games,Aksys Games,0.13,0.09,,0.02,0.01
183,The Inpatient,Action,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,0.13,0.06,0.05,,0.02
184,MX vs ATV All Out,Racing,PS4,THQ Nordic,Rainbow Studios,0.12,0.09,0.01,,0.02
185,Dragon's Crown Pro,Role-Playing,PS4,Atlus,Vanillaware,0.12,0.1,,,0.02
186,Shantae: Half-Genie Hero,Platform,NS,Xseed Games,WayForward Technologies,0.12,0.09,0.01,0.01,0.01
187,Darksiders III,Action,XOne,THQ Nordic,Gunfire Games,0.12,0.11,,,0.01
188,Fire Pro Wrestling World,Fighting,PS4,Spike Chunsoft,Spike Chunsoft,0.12,0.06,0.02,0.03,0.02
189,Vampyr,Role-Playing,XOne,Focus Home Interactive,DONTNOD Entertainment,0.12,0.07,0.04,,0.01
190,Pro Yakyuu Famista Evolution,Sports,NS,Bandai Namco Games,Bandai Namco Games,0.12,,,0.12,
191,Pokemon Crystal Version,Role-Playing,3DS,Nintendo,Game Freak,0.12,,0.11,,0.01
192,Jikkyou Powerful Pro Baseball 2018,Sports,PSV,Konami,Konami,0.12,,,0.12,
193,The Snack World: Trejarers Gold,Role-Playing,NS,Level 5,Level 5,0.12,,,0.12,
194,Call of Cthulhu,Role-Playing,PS4,Focus Home Interactive,Cyanide,0.12,0.07,0.03,,0.02
195,Subnautica,Adventure,PS4,Gearbox Software,Unknown Worlds Entertainment,0.12,0.07,0.03,,0.02
196,Payday 2,Shooter,NS,505 Games,Overkill Software,0.12,0.08,0.02,,0.01
197,The Alliance Alive,Role-Playing,3DS,Atlus,Cattle Call,0.11,0.04,,0.06,0.01
198,Dead Cells,Action,NS,Merge Games,Motion Twin,0.11,0.08,0.02,,0.01
199,Namco Museum Arcade Pac,Misc,NS,Bandai Namco Entertainment,Bandai Namco,0.11,0.08,0.02,,0.01
200,Monster Energy Supercross - The Official Videogame,Racing,PS4,Milestone S.r.l.,Milestone S.r.l.,0.11,0.08,0.01,,0.02
201,The Elder Scrolls Online: Summerset,MMO,XOne,Bethesda Softworks,ZeniMax Online Studios,0.11,0.09,0.01,,0.01
202,Wolfenstein II: The New Colossus,Shooter,NS,Bethesda Softworks,MachineGames,0.11,0.05,0.05,,0.01
203,Overcooked Special Edition,Simulation,NS,Team 17,Ghost Town Games,0.11,0.08,0.01,,0.01
204,Ys VIII: Lacrimosa of Dana,Role-Playing,NS,NIS America,Nihon Falcom Corporation,0.11,0.03,0.03,0.03,0.01
205,Burnout Paradise Remastered,Racing,XOne,Electronic Arts,Stellar Entertainment,0.11,0.06,0.04,,0.01
206,Football Manager 2019,Simulation,PC,Sega,Sports Interactive,0.11,,0.1,,0.01
207,Dark Souls: Remastered,Role-Playing,XOne,Bandai Namco Entertainment,From Software,0.11,0.07,0.03,,0.01
208,Slime Rancher,Simulation,PS4,Skybound Games,Monomi Park,0.1,0.08,,,0.02
209,The Seven Deadly Sins: Knights of Britannia,Fighting,PS4,Bandai Namco Entertainment,Natsume Atari,0.1,0.05,0.02,0.02,0.01
210,The Elder Scrolls Online: Summerset,MMO,PS4,Bethesda Softworks,ZeniMax Online Studios,0.1,0.08,,,0.02
211,NASCAR Heat 3,Racing,XOne,704Games,Monster Games,0.1,0.09,,,0.01
212,Starlink: Battle for Atlas,Action-Adventure,PS4,Ubisoft,Ubisoft Toronto,0.1,0.08,,,0.02
213,Zone of the Enders: The 2nd Runner MARS,Simulation,PS4,Konami,Cygames,0.1,0.05,0.01,0.03,0.01
214,Starlink: Battle for Atlas,Action-Adventure,XOne,Ubisoft,Ubisoft Toronto,0.1,0.09,,,0.01
215,Just Dance 2019,Music,WiiU,Ubisoft,Ubisoft Paris,0.1,0.06,0.03,,0.01
216,Sega Genesis Classics,Misc,XOne,Sega,Sega,0.1,0.06,0.03,,0.01
217,Sword Art Online: Fatal Bullet,Role-Playing,XOne,Namco Bandai Games,Dimps Corporation,0.1,0.09,,,0.01
218,Deracine,Adventure,PS4,Sony Interactive Entertainment,From Software,0.1,0.07,,0.01,0.02
